from_en,to_en,km
Al-Kharj,Rabigh,1213.5
Al-Kharj,Al-Lith,1147.8
Al-Kharj,Khulais,1051.4
Al-Kharj,Al-Jamoum,969
Al-Kharj,Al-Khurma,787.5
Al-Kharj,Ranyah,712.9
Al-Kharj,Turabah,881.2
Al-Kharj,Madinah,930
Al-Kharj,Yanbu,1152
Al-Kharj,Al-Ula,1128.9
Al-Kharj,Al-Mahd,868.4
Al-Kharj,Khaybar,1093
Al-Kharj,Badr,1064
Al-Kharj,Al-Hinakiyah,823.2
Al-Kharj,Buridah,439.9
Al-Kharj,Onizah,442.7
Al-Kharj,Al-Rass,501.8
Al-Kharj,Al-Mithnab,433.7
Al-Kharj,Al-Bukayriyah,468.5
Al-Kharj,Al-Asyah,489.6
Al-Kharj,Riyadh Al-Khabra,492.9
Al-Kharj,Dammam,476.9
Al-Kharj,Khobar,495.6
Al-Kharj,Al-Ahsa,359.8
Al-Kharj,Hafar Al-Batin,593.4
Al-Kharj,Khafji,668.9
Al-Kharj,Al-Jubail,529.3
Al-Kharj,Qatif,498.8
Al-Kharj,Al-Mubarraz,363.5
Al-Kharj,Abqaiq,411
Al-Kharj,Al-Nairyah,539.1
Al-Kharj,Qaisumah,600.1
Al-Kharj,Ras Tanura,532.2
Al-Kharj,Abha,976.2
Al-Kharj,Khamis Mushait,948.9
Al-Kharj,Bisha,791.2
Al-Kharj,Muhayil,1024.8
Al-Kharj,Tathlith,763.1
Al-Kharj,Sarat Abidah,959.7
Al-Kharj,Ahad Rafidah,952.9
Al-Kharj,Rijal Almaa,1031.6
Al-Kharj,Dhahran Al-Janub,999.9
Al-Kharj,Balqarn,908.1
Al-Kharj,Tabuk,1441.4
Al-Kharj,Al-Wajh,1468.8
Al-Kharj,Duba,1616.3
Al-Kharj,Tayma,1114.5
Al-Kharj,Haqal,1666.2
Al-Kharj,Umluj,1298.5
Al-Kharj,NEOM,1600.5
Al-Kharj,Hail,720.9
Al-Kharj,Baqaa,734.5
Al-Kharj,Al-Ghazalah,786.8
Al-Kharj,Al-Shinan,685.3
Al-Kharj,Al-Sulaimi,835.6
Al-Kharj,Arar,1146.3
Al-Kharj,Rafha,866.8
Al-Kharj,Turaif,1386.9
Al-Kharj,Al-Awaiqilah,1047.3
Al-Kharj,Jazan,1171.3
Al-Kharj,Sabya,1138.1
Al-Kharj,Abu Arish,1167.8
Al-Kharj,Samtah,1215.6
Al-Kharj,Bish,1109
Al-Kharj,Damad,1150
Al-Kharj,Farasan,1229.3
Al-Kharj,Al-Aridah,1212.9
Al-Kharj,Najran,908.4
Al-Kharj,Sharurah,1117
Al-Kharj,Hubuna,881.8
Al-Kharj,Khubash,907.7
Al-Kharj,Yadamah,798.1
Al-Kharj,Al Bahah,989.5
Al-Kharj,Baljurashi,961.3
Al-Kharj,Al-Mandaq,1074.4
Al-Kharj,Al-Aqiq,922.1
Al-Kharj,Al-Mikhwah,999.2
Al-Kharj,Qilwah,969.1
Al-Kharj,Al Qurayyat,1342.8
Al-Kharj,Sakaka,1074.1
Al-Kharj,Domat Al-Jandal,1042.3
Al-Kharj,Tabarjal,1217.4
Al-Kharj,Diriyah,106.8
Al-Kharj,Al-Muzahmiyya,141
Al-Kharj,Al-Hariq,122
Al-Kharj,Marat,275.5
Al-Kharj,Huraymila,181
Al-Kharj,Thadig,243.8
Al-Kharj,Al-Ghat,337.3
Al-Kharj,Dhurma,153.1
Al-Kharj,Al-Rayn,274.6
Al-Kharj,Rimah,200.5
Al-Kharj,Bahrah,990.6
Al-Kharj,Al-Kamil,1216.7
Al-Kharj,Al-Muwayh,677.9
Al-Kharj,Adam,981.6
Al-Kharj,Wadi Al-Faraa,1068.1
Al-Kharj,Al-Badai,453.1
Al-Kharj,Al-Nabhaniyah,543.6
Al-Kharj,Uyun Al-Jiwa,477.8
Al-Kharj,Dhariyah,621.6
Al-Kharj,Uqlat Al-Suqur,638.4
Al-Kharj,Al-Shimasiyah,470.5
Al-Kharj,Qaryat Al-Ulya,474.3
Al-Kharj,Al-Majaridah,970.8
Al-Kharj,Al-Namas,952.4
Al-Kharj,Tanomah,979.5
Al-Kharj,Al-Birk,1163.5
Al-Kharj,Bariq,1006.8
Al-Kharj,Al-Bid,1668.1
Al-Kharj,Al-Shamli,932
Al-Kharj,Sumairah,811.5
Al-Kharj,Mawqaq,803.3
Al-Kharj,Al-Hait,857.2
Al-Kharj,Ahad Al-Masarihah,1202.5
Al-Kharj,Al-Darb,1058.5
Al-Kharj,Fayfa,1196.4
Al-Kharj,Al-Eidabi,1190.8
Al-Kharj,Al-Dayer,1136.7
Al-Kharj,Thar,1003.8
Al-Kharj,Badr Al-Janub,914.2
Al-Kharj,Al-Qura,972.7
Al-Aflaj,Riyadh,292.1
Al-Aflaj,Al-Kharj,256
Al-Aflaj,Al Majmaah,484.2
Al-Aflaj,Al Duwadimi,606.1
Al-Aflaj,Afif,775.8
Al-Aflaj,Wadi Al-Dawasir,331.2
Al-Aflaj,Al-Zilfi,562.5
Al-Aflaj,Shaqra,479.9
Al-Aflaj,Al-Quwaiiyah,445.4
Al-Aflaj,Hotat Bani Tamim,147.6
Al-Aflaj,Al-Sulayyil,243.9
Al-Aflaj,Sajir,564.6
Al-Aflaj,Al-Dilam,231.4
Al-Aflaj,Jeddah,1088.9
Al-Aflaj,Makkah,1012.4
Al-Aflaj,Taif,926.8
Al-Aflaj,Al Qunfudhah,905.5
Al-Aflaj,Rabigh,1204.7
Al-Aflaj,Al-Lith,1023.4
Al-Aflaj,Khulais,1112.4
Al-Aflaj,Al-Jamoum,1030
Al-Aflaj,Al-Khurma,705
Al-Aflaj,Ranyah,568.4
Al-Aflaj,Turabah,728
Al-Aflaj,Madinah,1127.2
Al-Aflaj,Yanbu,1349.2
Al-Aflaj,Al-Ula,1326.2
Al-Aflaj,Al-Mahd,958.9
Al-Aflaj,Khaybar,1290.2
Al-Aflaj,Badr,1261.2
Al-Aflaj,Al-Hinakiyah,1020.4
Al-Aflaj,Buridah,637.1
Al-Aflaj,Onizah,640
Al-Aflaj,Al-Rass,699.1
