from_en,to_en,km
Sajir,Al-Rayn,253.2
Sajir,Rimah,393.9
Sajir,Bahrah,802.2
Sajir,Al-Kamil,912.4
Sajir,Al-Muwayh,489.5
Sajir,Adam,793.3
Sajir,Wadi Al-Faraa,763.7
Sajir,Al-Badai,122.5
Sajir,Al-Nabhaniyah,249.7
Sajir,Uyun Al-Jiwa,189.1
Sajir,Dhariyah,317.2
Sajir,Uqlat Al-Suqur,334
Sajir,Al-Shimasiyah,171.4
Sajir,Qaryat Al-Ulya,543.7
Sajir,Al-Majaridah,953.4
Sajir,Al-Namas,935
Sajir,Tanomah,962.1
Sajir,Al-Birk,1176.7
Sajir,Bariq,989.4
Sajir,Al-Bid,1379.4
Sajir,Al-Shamli,643.3
Sajir,Sumairah,522.8
Sajir,Mawqaq,514.5
Sajir,Al-Hait,552.8
Sajir,Ahad Al-Masarihah,1234.6
Sajir,Al-Darb,1090.5
Sajir,Fayfa,1228.4
Sajir,Al-Eidabi,1222.9
Sajir,Al-Dayer,1187.3
Sajir,Thar,1113.7
Sajir,Badr Al-Janub,1195.8
Sajir,Al-Qura,915.7
Al-Dilam,Riyadh,109.9
Al-Dilam,Al-Kharj,28.5
Al-Dilam,Al-Aflaj,220.7
Al-Dilam,Al Majmaah,302
Al-Dilam,Al Duwadimi,423.9
Al-Dilam,Afif,593.6
Al-Dilam,Wadi Al-Dawasir,549.1
Al-Dilam,Al-Zilfi,380.2
Al-Dilam,Shaqra,297.6
Al-Dilam,Al-Quwaiiyah,266.7
Al-Dilam,Hotat Bani Tamim,84.2
Al-Dilam,Al-Sulayyil,461.8
Al-Dilam,Sajir,382.4
Al-Dilam,Jeddah,1036.1
Al-Dilam,Makkah,959.6
Al-Dilam,Taif,874
Al-Dilam,Al Qunfudhah,1057.7
Al-Dilam,Rabigh,1228.5
Al-Dilam,Al-Lith,1156
Al-Dilam,Khulais,1059.6
Al-Dilam,Al-Jamoum,977.2
Al-Dilam,Al-Khurma,795.7
Al-Dilam,Ranyah,721.1
Al-Dilam,Turabah,889.4
Al-Dilam,Madinah,944.9
Al-Dilam,Yanbu,1166.9
Al-Dilam,Al-Ula,1143.9
Al-Dilam,Al-Mahd,876.6
Al-Dilam,Khaybar,1108
Al-Dilam,Badr,1078.9
Al-Dilam,Al-Hinakiyah,838.2
Al-Dilam,Buridah,454.9
Al-Dilam,Onizah,457.7
Al-Dilam,Al-Rass,516.8
Al-Dilam,Al-Mithnab,448.7
Al-Dilam,Al-Bukayriyah,483.5
Al-Dilam,Al-Asyah,504.6
Al-Dilam,Riyadh Al-Khabra,507.8
Al-Dilam,Dammam,491.9
Al-Dilam,Khobar,510.6
Al-Dilam,Al-Ahsa,386.2
Al-Dilam,Hafar Al-Batin,608.4
Al-Dilam,Khafji,683.9
Al-Dilam,Al-Jubail,544.3
Al-Dilam,Qatif,513.7
Al-Dilam,Al-Mubarraz,389.8
Al-Dilam,Abqaiq,455.6
Al-Dilam,Al-Nairyah,554.1
Al-Dilam,Qaisumah,615.1
Al-Dilam,Ras Tanura,547.2
Al-Dilam,Abha,950.2
Al-Dilam,Khamis Mushait,922.9
Al-Dilam,Bisha,799.4
Al-Dilam,Muhayil,998.8
Al-Dilam,Tathlith,737.2
Al-Dilam,Sarat Abidah,933.7
Al-Dilam,Ahad Rafidah,926.9
Al-Dilam,Rijal Almaa,1005.7
Al-Dilam,Dhahran Al-Janub,973.9
Al-Dilam,Balqarn,916.3
Al-Dilam,Tabuk,1456.4
Al-Dilam,Al-Wajh,1483.8
Al-Dilam,Duba,1631.3
Al-Dilam,Tayma,1129.5
Al-Dilam,Haqal,1681.2
Al-Dilam,Umluj,1313.4
Al-Dilam,NEOM,1615.5
Al-Dilam,Hail,735.9
Al-Dilam,Baqaa,749.4
Al-Dilam,Al-Ghazalah,801.8
Al-Dilam,Al-Shinan,700.3
Al-Dilam,Al-Sulaimi,850.6
Al-Dilam,Arar,1161.3
Al-Dilam,Rafha,881.8
Al-Dilam,Turaif,1401.9
Al-Dilam,Al-Awaiqilah,1062.3
Al-Dilam,Jazan,1145.3
Al-Dilam,Sabya,1112.1
Al-Dilam,Abu Arish,1141.8
Al-Dilam,Samtah,1189.6
Al-Dilam,Bish,1083
Al-Dilam,Damad,1124
Al-Dilam,Farasan,1203.3
Al-Dilam,Al-Aridah,1186.9
Al-Dilam,Najran,882.4
Al-Dilam,Sharurah,1091
Al-Dilam,Hubuna,855.8
Al-Dilam,Khubash,881.7
Al-Dilam,Yadamah,772.1
Al-Dilam,Al Bahah,997.7
Al-Dilam,Baljurashi,969.5
Al-Dilam,Al-Mandaq,1082.6
Al-Dilam,Al-Aqiq,930.3
Al-Dilam,Al-Mikhwah,1007.4
Al-Dilam,Qilwah,977.3
Al-Dilam,Al Qurayyat,1357.8
Al-Dilam,Sakaka,1089.1
Al-Dilam,Domat Al-Jandal,1057.3
Al-Dilam,Tabarjal,1232.4
Al-Dilam,Diriyah,121.8
Al-Dilam,Al-Muzahmiyya,149.1
Al-Dilam,Al-Hariq,96
Al-Dilam,Marat,251.8
Al-Dilam,Huraymila,195.9
Al-Dilam,Thadig,258.7
Al-Dilam,Al-Ghat,352.3
Al-Dilam,Dhurma,160.9
Al-Dilam,Al-Rayn,282.8
Al-Dilam,Rimah,215.5
Al-Dilam,Bahrah,998.8
Al-Dilam,Al-Kamil,1231.7
Al-Dilam,Al-Muwayh,686.1
Al-Dilam,Adam,989.8
Al-Dilam,Wadi Al-Faraa,1083.1
Al-Dilam,Al-Badai,468.1
Al-Dilam,Al-Nabhaniyah,558.5
Al-Dilam,Uyun Al-Jiwa,492.7
Al-Dilam,Dhariyah,636.6
Al-Dilam,Uqlat Al-Suqur,653.3
Al-Dilam,Al-Shimasiyah,485.5
Al-Dilam,Qaryat Al-Ulya,489.3
Al-Dilam,Al-Majaridah,979
Al-Dilam,Al-Namas,960.6
Al-Dilam,Tanomah,987.7
Al-Dilam,Al-Birk,1137.5
Al-Dilam,Bariq,1015
Al-Dilam,Al-Bid,1683.1
Al-Dilam,Al-Shamli,947
Al-Dilam,Sumairah,826.5
Al-Dilam,Mawqaq,818.2
Al-Dilam,Al-Hait,872.2
Al-Dilam,Ahad Al-Masarihah,1176.5
Al-Dilam,Al-Darb,1032.5
Al-Dilam,Fayfa,1170.4
Al-Dilam,Al-Eidabi,1164.8
Al-Dilam,Al-Dayer,1110.7
Al-Dilam,Thar,977.8
Al-Dilam,Badr Al-Janub,888.2
Al-Dilam,Al-Qura,980.9
Jeddah,Riyadh,946.3
Jeddah,Al-Kharj,1027.3
Jeddah,Al-Aflaj,1090.3
Jeddah,Al Majmaah,1039.1
Jeddah,Al Duwadimi,734.7
Jeddah,Afif,563.5
Jeddah,Wadi Al-Dawasir,764.1
Jeddah,Al-Zilfi,984.6
Jeddah,Shaqra,858
Jeddah,Al-Quwaiiyah,785.6
Jeddah,Hotat Bani Tamim,1077.4
Jeddah,Al-Sulayyil,847.6
Jeddah,Sajir,826.1
Jeddah,Al-Dilam,1035.5
Jeddah,Makkah,84.1
Jeddah,Taif,167.7
Jeddah,Al Qunfudhah,363.3
Jeddah,Rabigh,160.7
Jeddah,Al-Lith,207.2
Jeddah,Khulais,97.5
Jeddah,Al-Jamoum,72.6
Jeddah,Al-Khurma,392.9
Jeddah,Ranyah,524.2
Jeddah,Turabah,321.2
Jeddah,Madinah,413.2
Jeddah,Yanbu,336.8
Jeddah,Al-Ula,682.7
Jeddah,Al-Mahd,368.5
Jeddah,Khaybar,576.6
Jeddah,Badr,275.5
Jeddah,Al-Hinakiyah,527.2
Jeddah,Buridah,904.1
Jeddah,Onizah,902.7
Jeddah,Al-Rass,851.9
Jeddah,Al-Mithnab,928.1
Jeddah,Al-Bukayriyah,862.2
Jeddah,Al-Asyah,940.2
Jeddah,Riyadh Al-Khabra,943.4
Jeddah,Dammam,1348
Jeddah,Khobar,1366.7
Jeddah,Al-Ahsa,1269.1
Jeddah,Hafar Al-Batin,1281
Jeddah,Khafji,1540
Jeddah,Al-Jubail,1400.5
Jeddah,Qatif,1369.9
Jeddah,Al-Mubarraz,1272.7
Jeddah,Abqaiq,1311.7
Jeddah,Al-Nairyah,1410.3
Jeddah,Qaisumah,1287.7
Jeddah,Ras Tanura,1403.3
Jeddah,Abha,680.6
Jeddah,Khamis Mushait,705.5
Jeddah,Bisha,485.4
Jeddah,Muhayil,550.7
Jeddah,Tathlith,615.9
Jeddah,Sarat Abidah,725.9
Jeddah,Ahad Rafidah,720
Jeddah,Rijal Almaa,607
Jeddah,Dhahran Al-Janub,822
Jeddah,Balqarn,487.7
Jeddah,Tabuk,993.2
Jeddah,Al-Wajh,653.7
Jeddah,Duba,801.2
Jeddah,Tayma,828.9
Jeddah,Haqal,1075.9
Jeddah,Umluj,483.3
Jeddah,NEOM,903
Jeddah,Hail,836.7
Jeddah,Baqaa,879.9
Jeddah,Al-Ghazalah,783
Jeddah,Al-Shinan,900.9
Jeddah,Al-Sulaimi,779.8
Jeddah,Arar,1373
Jeddah,Rafha,1252.2
Jeddah,Turaif,1613.3
Jeddah,Al-Awaiqilah,1496.7
Jeddah,Jazan,700.9
Jeddah,Sabya,676.8
Jeddah,Abu Arish,713.7
Jeddah,Samtah,751.2
Jeddah,Bish,652.9
Jeddah,Damad,686.2
Jeddah,Farasan,758.9
Jeddah,Al-Aridah,757.9
Jeddah,Najran,918
Jeddah,Sharurah,1258.7
Jeddah,Hubuna,966.8
Jeddah,Khubash,937.1
Jeddah,Yadamah,1078.1
Jeddah,Al Bahah,384.9
Jeddah,Baljurashi,413.6
Jeddah,Al-Mandaq,374.5
Jeddah,Al-Aqiq,425.7
Jeddah,Al-Mikhwah,371.1
Jeddah,Qilwah,402.4
Jeddah,Al Qurayyat,1488.3
Jeddah,Sakaka,1219.6
Jeddah,Domat Al-Jandal,1187.7
Jeddah,Tabarjal,1362.9
Jeddah,Diriyah,950.2
Jeddah,Al-Muzahmiyya,894.7
Jeddah,Al-Hariq,1089.3
Jeddah,Marat,888.8
Jeddah,Huraymila,1021.8
Jeddah,Thadig,1141.9
Jeddah,Al-Ghat,996
Jeddah,Dhurma,897.8
Jeddah,Al-Rayn,835
Jeddah,Rimah,1071.6
Jeddah,Bahrah,34.1
Jeddah,Al-Kamil,145.7
Jeddah,Al-Muwayh,358
Jeddah,Adam,281.8
Jeddah,Wadi Al-Faraa,316.3
Jeddah,Al-Badai,897.4
Jeddah,Al-Nabhaniyah,921.8
Jeddah,Uyun Al-Jiwa,928.3
Jeddah,Dhariyah,720.3
Jeddah,Uqlat Al-Suqur,736.9
Jeddah,Al-Shimasiyah,890.6
Jeddah,Qaryat Al-Ulya,1324.7
Jeddah,Al-Majaridah,492.3
Jeddah,Al-Namas,522.7
Jeddah,Tanomah,553.3
Jeddah,Al-Birk,494.4
Jeddah,Bariq,503.2
Jeddah,Al-Bid,966.9
Jeddah,Al-Shamli,844.5
Jeddah,Sumairah,781.1
Jeddah,Mawqaq,843.1
Jeddah,Al-Hait,654.4
Jeddah,Ahad Al-Masarihah,738.1
Jeddah,Al-Darb,602.3
Jeddah,Fayfa,740.2
Jeddah,Al-Eidabi,734.7
Jeddah,Al-Dayer,757
Jeddah,Thar,823.1
Jeddah,Badr Al-Janub,1002.5
Jeddah,Al-Qura,404.2
Makkah,Riyadh,870
Makkah,Al-Kharj,950.9
Makkah,Al-Aflaj,1014
Makkah,Al Majmaah,863
Makkah,Al Duwadimi,658.3
Makkah,Afif,487.1
Makkah,Wadi Al-Dawasir,687.7
Makkah,Al-Zilfi,1010.1
Makkah,Shaqra,781.6
Makkah,Al-Quwaiiyah,709.2
Makkah,Hotat Bani Tamim,1001.1
Makkah,Al-Sulayyil,771.3
Makkah,Sajir,749.8
Makkah,Al-Dilam,959.2
Makkah,Jeddah,82.1
Makkah,Taif,89.3
Makkah,Al Qunfudhah,358
Makkah,Rabigh,206.2
Makkah,Al-Lith,202
Makkah,Khulais,114
Makkah,Al-Jamoum,31.5
Makkah,Al-Khurma,316.6
Makkah,Ranyah,447.8
Makkah,Turabah,244.9
Makkah,Madinah,438.8
Makkah,Yanbu,382.4
Makkah,Al-Ula,728.3
Makkah,Al-Mahd,394
Makkah,Khaybar,602.2
Makkah,Badr,321.1
Makkah,Al-Hinakiyah,552.8
Makkah,Buridah,929.7
Makkah,Onizah,928.3
Makkah,Al-Rass,877.5
Makkah,Al-Mithnab,953.6
Makkah,Al-Bukayriyah,887.7
Makkah,Al-Asyah,965.8
Makkah,Riyadh Al-Khabra,969
Makkah,Dammam,1271.7
Makkah,Khobar,1290.4
Makkah,Al-Ahsa,1192.7
Makkah,Hafar Al-Batin,1306.5
Makkah,Khafji,1463.7
Makkah,Al-Jubail,1324.1
Makkah,Qatif,1293.6
Makkah,Al-Mubarraz,1196.4
Makkah,Abqaiq,1235.4
Makkah,Al-Nairyah,1333.9
Makkah,Qaisumah,1313.3
Makkah,Ras Tanura,1327
Makkah,Abha,635.5
Makkah,Khamis Mushait,664
Makkah,Bisha,407
Makkah,Muhayil,545.4
Makkah,Tathlith,537.4
Makkah,Sarat Abidah,686.2
Makkah,Ahad Rafidah,680.3
Makkah,Rijal Almaa,601.7
Makkah,Dhahran Al-Janub,782.3
Makkah,Balqarn,409.2
Makkah,Tabuk,1038.8
Makkah,Al-Wajh,699.2
Makkah,Duba,846.7
Makkah,Tayma,854.5
Makkah,Haqal,1121.4
Makkah,Umluj,528.9
Makkah,NEOM,948.6
Makkah,Hail,862.2
Makkah,Baqaa,905.4
Makkah,Al-Ghazalah,808.6
Makkah,Al-Shinan,926.5
Makkah,Al-Sulaimi,805.4
Makkah,Arar,1398.6
Makkah,Rafha,1277.8
Makkah,Turaif,1638.8
Makkah,Al-Awaiqilah,1522.3
Makkah,Jazan,695.7
Makkah,Sabya,671.6
Makkah,Abu Arish,708.4
Makkah,Samtah,746
Makkah,Bish,647.6
Makkah,Damad,680.9
Makkah,Farasan,753.7
Makkah,Al-Aridah,752.6
Makkah,Najran,878.3
Makkah,Sharurah,1219
Makkah,Hubuna,927.1
Makkah,Khubash,897.4
Makkah,Yadamah,1001.7
Makkah,Al Bahah,306.5
Makkah,Baljurashi,335.2
Makkah,Al-Mandaq,296.1
Makkah,Al-Aqiq,347.3
Makkah,Al-Mikhwah,355.4
Makkah,Qilwah,386.8
Makkah,Al Qurayyat,1513.8
Makkah,Sakaka,1245.1
Makkah,Domat Al-Jandal,1213.3
Makkah,Tabarjal,1388.4
Makkah,Diriyah,873.9
Makkah,Al-Muzahmiyya,818.4
Makkah,Al-Hariq,1013
Makkah,Marat,812.5
Makkah,Huraymila,945.5
Makkah,Thadig,888.6
Makkah,Al-Ghat,1021.5
Makkah,Dhurma,821.4
Makkah,Al-Rayn,758.7
Makkah,Rimah,995.3
Makkah,Bahrah,52.7
Makkah,Al-Kamil,162.4
Makkah,Al-Muwayh,281.6
Makkah,Adam,203.3
Makkah,Wadi Al-Faraa,361.9
Makkah,Al-Badai,923
Makkah,Al-Nabhaniyah,947.4
Makkah,Uyun Al-Jiwa,953.9
Makkah,Dhariyah,745.8
Makkah,Uqlat Al-Suqur,762.4
Makkah,Al-Shimasiyah,916.2
Makkah,Qaryat Al-Ulya,1248.3
Makkah,Al-Majaridah,487
Makkah,Al-Namas,490.6
Makkah,Tanomah,517.7
Makkah,Al-Birk,489.2
Makkah,Bariq,497.9
Makkah,Al-Bid,1012.4
Makkah,Al-Shamli,870.1
Makkah,Sumairah,806.6
Makkah,Mawqaq,868.7
Makkah,Al-Hait,679.9
Makkah,Ahad Al-Masarihah,732.9
Makkah,Al-Darb,597
Makkah,Fayfa,734.9
Makkah,Al-Eidabi,729.4
Makkah,Al-Dayer,751.7
Makkah,Thar,783.4
Makkah,Badr Al-Janub,962.8
Makkah,Al-Qura,325.8
Taif,Riyadh,784.4
Taif,Al-Kharj,865.3
Taif,Al-Aflaj,928.4
Taif,Al Majmaah,777.4
Taif,Al Duwadimi,572.7
Taif,Afif,401.5
Taif,Wadi Al-Dawasir,602.1
Taif,Al-Zilfi,830.2
Taif,Shaqra,696
Taif,Al-Quwaiiyah,623.6
Taif,Hotat Bani Tamim,915.5
Taif,Al-Sulayyil,685.7
Taif,Sajir,664.1
Taif,Al-Dilam,873.6
Taif,Jeddah,168.5
Taif,Makkah,88.5
Taif,Al Qunfudhah,370.4
Taif,Rabigh,292.6
Taif,Al-Lith,279.8
Taif,Khulais,200.3
Taif,Al-Jamoum,117.9
Taif,Al-Khurma,231
Taif,Ranyah,362.2
Taif,Turabah,159.2
Taif,Madinah,525.1
Taif,Yanbu,468.7
Taif,Al-Ula,814.6
Taif,Al-Mahd,342.4
Taif,Khaybar,688.5
Taif,Badr,407.4
Taif,Al-Hinakiyah,639.1
Taif,Buridah,749.7
Taif,Onizah,715.1
Taif,Al-Rass,656.5
Taif,Al-Mithnab,748.5
Taif,Al-Bukayriyah,707.8
Taif,Al-Asyah,785.8
Taif,Riyadh Al-Khabra,789
Taif,Dammam,1186.1
Taif,Khobar,1204.8
Taif,Al-Ahsa,1107.1
Taif,Hafar Al-Batin,1082.7
Taif,Khafji,1378.1
Taif,Al-Jubail,1238.5
Taif,Qatif,1207.9
Taif,Al-Mubarraz,1110.8
Taif,Abqaiq,1149.8
Taif,Al-Nairyah,1248.3
Taif,Qaisumah,1089.4
Taif,Ras Tanura,1241.4
Taif,Abha,550.3
Taif,Khamis Mushait,578.8
Taif,Bisha,321.7
Taif,Muhayil,452.6
Taif,Tathlith,452.2
Taif,Sarat Abidah,601
Taif,Ahad Rafidah,595.1
Taif,Rijal Almaa,508.9
Taif,Dhahran Al-Janub,697.1
Taif,Balqarn,324
Taif,Tabuk,1125.1
Taif,Al-Wajh,785.6
Taif,Duba,933.1
Taif,Tayma,940.8
Taif,Haqal,1207.8
Taif,Umluj,615.2
Taif,NEOM,1034.9
Taif,Hail,948.6
Taif,Baqaa,991.8
Taif,Al-Ghazalah,894.9
Taif,Al-Shinan,1012.8
Taif,Al-Sulaimi,891.7
Taif,Arar,1484.9
Taif,Rafha,1253.9
Taif,Turaif,1725.2
Taif,Al-Awaiqilah,1434.4
Taif,Jazan,708.1
Taif,Sabya,684
Taif,Abu Arish,720.9
Taif,Samtah,758.4
Taif,Bish,660
Taif,Damad,693.4
Taif,Farasan,766.1
Taif,Al-Aridah,765.1
Taif,Najran,793.1
Taif,Sharurah,1133.8
Taif,Hubuna,841.9
Taif,Khubash,812.2
Taif,Yadamah,916.1
Taif,Al Bahah,221.3
Taif,Baljurashi,249.9
Taif,Al-Mandaq,210.9
Taif,Al-Aqiq,262.1
Taif,Al-Mikhwah,270.2
Taif,Qilwah,301.6
Taif,Al Qurayyat,1600.1
Taif,Sakaka,1331.5
Taif,Domat Al-Jandal,1299.6
Taif,Tabarjal,1474.8
Taif,Diriyah,788.2
Taif,Al-Muzahmiyya,732.7
Taif,Al-Hariq,927.4
Taif,Marat,726.9
Taif,Huraymila,859.9
Taif,Thadig,803
Taif,Al-Ghat,822.1
Taif,Dhurma,735.8
Taif,Al-Rayn,673.1
Taif,Rimah,909.7
Taif,Bahrah,135.4
Taif,Al-Kamil,248.7
Taif,Al-Muwayh,196
Taif,Adam,118.1
Taif,Wadi Al-Faraa,448.2
Taif,Al-Badai,717.9
Taif,Al-Nabhaniyah,767.4
Taif,Uyun Al-Jiwa,773.9
Taif,Dhariyah,832.2
Taif,Uqlat Al-Suqur,848.8
Taif,Al-Shimasiyah,736.2
Taif,Qaryat Al-Ulya,1162.7
Taif,Al-Majaridah,394.2
Taif,Al-Namas,405.3
Taif,Tanomah,432.5
Taif,Al-Birk,501.6
Taif,Bariq,405.1
Taif,Al-Bid,1098.8
Taif,Al-Shamli,956.4
Taif,Sumairah,892.9
Taif,Mawqaq,955
Taif,Al-Hait,766.2
Taif,Ahad Al-Masarihah,745.3
Taif,Al-Darb,609.5
Taif,Fayfa,747.4
Taif,Al-Eidabi,741.8
Taif,Al-Dayer,764.2
Taif,Thar,698.2
Taif,Badr Al-Janub,877.6
Taif,Al-Qura,240.6
Al Qunfudhah,Riyadh,970.3
Al Qunfudhah,Al-Kharj,1051.3
Al Qunfudhah,Al-Aflaj,909.8
Al Qunfudhah,Al Majmaah,1143.3
Al Qunfudhah,Al Duwadimi,938.7
Al Qunfudhah,Afif,767.5
Al Qunfudhah,Wadi Al-Dawasir,583.5
Al Qunfudhah,Al-Zilfi,1341.5
Al Qunfudhah,Shaqra,1062
Al Qunfudhah,Al-Quwaiiyah,989.6
Al Qunfudhah,Hotat Bani Tamim,1054.5
Al Qunfudhah,Al-Sulayyil,667
Al Qunfudhah,Sajir,1030.1
Al Qunfudhah,Al-Dilam,1059.5
Al Qunfudhah,Jeddah,365.5
Al Qunfudhah,Makkah,360.2
Al Qunfudhah,Taif,369.1
Al Qunfudhah,Rabigh,517.6
Al Qunfudhah,Al-Lith,163.5
Al Qunfudhah,Khulais,449.6
Al Qunfudhah,Al-Jamoum,381.1
Al Qunfudhah,Al-Khurma,453.9
Al Qunfudhah,Ranyah,403.7
Al Qunfudhah,Turabah,355.7
Al Qunfudhah,Madinah,770.1
Al Qunfudhah,Yanbu,693.7
Al Qunfudhah,Al-Ula,1039.6
Al Qunfudhah,Al-Mahd,725.4
Al Qunfudhah,Khaybar,933.5
Al Qunfudhah,Badr,632.4
Al Qunfudhah,Al-Hinakiyah,884.1
Al Qunfudhah,Buridah,1261
Al Qunfudhah,Onizah,1259.6
Al Qunfudhah,Al-Rass,1022.4
Al Qunfudhah,Al-Mithnab,1285
Al Qunfudhah,Al-Bukayriyah,1219.1
Al Qunfudhah,Al-Asyah,1297.1
Al Qunfudhah,Riyadh Al-Khabra,1300.3
Al Qunfudhah,Dammam,1372
Al Qunfudhah,Khobar,1390.7
Al Qunfudhah,Al-Ahsa,1293.1
Al Qunfudhah,Hafar Al-Batin,1448.6
Al Qunfudhah,Khafji,1564
Al Qunfudhah,Al-Jubail,1424.4
Al Qunfudhah,Qatif,1393.9
Al Qunfudhah,Al-Mubarraz,1296.7
Al Qunfudhah,Abqaiq,1335.7
Al Qunfudhah,Al-Nairyah,1434.2
Al Qunfudhah,Qaisumah,1455.3
Al Qunfudhah,Ras Tanura,1427.3
Al Qunfudhah,Abha,319.8
Al Qunfudhah,Khamis Mushait,344.8
Al Qunfudhah,Bisha,272.5
Al Qunfudhah,Muhayil,189.9
Al Qunfudhah,Tathlith,403
Al Qunfudhah,Sarat Abidah,365.1
Al Qunfudhah,Ahad Rafidah,359.2
Al Qunfudhah,Rijal Almaa,246.2
Al Qunfudhah,Dhahran Al-Janub,461.3
Al Qunfudhah,Balqarn,214.2
Al Qunfudhah,Tabuk,1350.1
Al Qunfudhah,Al-Wajh,1010.6
Al Qunfudhah,Duba,1158.1
Al Qunfudhah,Tayma,1185.8
Al Qunfudhah,Haqal,1432.8
Al Qunfudhah,Umluj,840.2
Al Qunfudhah,NEOM,1259.9
Al Qunfudhah,Hail,1193.6
Al Qunfudhah,Baqaa,1236.8
Al Qunfudhah,Al-Ghazalah,1139.9
Al Qunfudhah,Al-Shinan,1257.8
Al Qunfudhah,Al-Sulaimi,1136.7
Al Qunfudhah,Arar,1729.9
Al Qunfudhah,Rafha,1609.1
Al Qunfudhah,Turaif,1970.2
Al Qunfudhah,Al-Awaiqilah,1853.6
Al Qunfudhah,Jazan,340.2
Al Qunfudhah,Sabya,316
Al Qunfudhah,Abu Arish,352.9
Al Qunfudhah,Samtah,390.4
Al Qunfudhah,Bish,292.1
Al Qunfudhah,Damad,325.4
Al Qunfudhah,Farasan,398.1
Al Qunfudhah,Al-Aridah,397.1
Al Qunfudhah,Najran,557.2
Al Qunfudhah,Sharurah,897.9
Al Qunfudhah,Hubuna,606
Al Qunfudhah,Khubash,576.3
Al Qunfudhah,Yadamah,846.9
Al Qunfudhah,Al Bahah,151.9
Al Qunfudhah,Baljurashi,138.2
Al Qunfudhah,Al-Mandaq,196.1
Al Qunfudhah,Al-Aqiq,193.5
Al Qunfudhah,Al-Mikhwah,103.4
Al Qunfudhah,Qilwah,134.7
Al Qunfudhah,Al Qurayyat,1845.1
Al Qunfudhah,Sakaka,1576.5
Al Qunfudhah,Domat Al-Jandal,1544.6
Al Qunfudhah,Tabarjal,1719.8
Al Qunfudhah,Diriyah,974.2
Al Qunfudhah,Al-Muzahmiyya,918.7
Al Qunfudhah,Al-Hariq,1093
Al Qunfudhah,Marat,1092.8
Al Qunfudhah,Huraymila,1045.8
Al Qunfudhah,Thadig,1039.8
Al Qunfudhah,Al-Ghat,1352.9
Al Qunfudhah,Dhurma,921.4
Al Qunfudhah,Al-Rayn,788.1
Al Qunfudhah,Rimah,1095.6
Al Qunfudhah,Bahrah,357.6
Al Qunfudhah,Al-Kamil,497.8
Al Qunfudhah,Al-Muwayh,562
Al Qunfudhah,Adam,279
Al Qunfudhah,Wadi Al-Faraa,673.2
Al Qunfudhah,Al-Badai,1254.3
Al Qunfudhah,Al-Nabhaniyah,1278.7
Al Qunfudhah,Uyun Al-Jiwa,1285.2
Al Qunfudhah,Dhariyah,1077.2
Al Qunfudhah,Uqlat Al-Suqur,1093.8
Al Qunfudhah,Al-Shimasiyah,1247.5
Al Qunfudhah,Qaryat Al-Ulya,1348.7
Al Qunfudhah,Al-Majaridah,131.5
Al Qunfudhah,Al-Namas,161.9
Al Qunfudhah,Tanomah,192.5
Al Qunfudhah,Al-Birk,133.6
Al Qunfudhah,Bariq,142.4
Al Qunfudhah,Al-Bid,1323.7
Al Qunfudhah,Al-Shamli,1201.4
Al Qunfudhah,Sumairah,1137.9
Al Qunfudhah,Mawqaq,1200
Al Qunfudhah,Al-Hait,1011.2
Al Qunfudhah,Ahad Al-Masarihah,377.4
Al Qunfudhah,Al-Darb,241.5
Al Qunfudhah,Fayfa,379.4
Al Qunfudhah,Al-Eidabi,373.9
Al Qunfudhah,Al-Dayer,396.2
Al Qunfudhah,Thar,462.3
Al Qunfudhah,Badr Al-Janub,641.7
Al Qunfudhah,Al-Qura,150.6
Rabigh,Riyadh,1118.8
Rabigh,Al-Kharj,1212.1
Rabigh,Al-Aflaj,1210.9
Rabigh,Al Majmaah,927.8
Rabigh,Al Duwadimi,855.2
Rabigh,Afif,684
Rabigh,Wadi Al-Dawasir,884.6
Rabigh,Al-Zilfi,873.3
Rabigh,Shaqra,1008.8
Rabigh,Al-Quwaiiyah,906.1
Rabigh,Hotat Bani Tamim,1272.1
Rabigh,Al-Sulayyil,968.1
Rabigh,Sajir,906.3
Rabigh,Al-Dilam,1230.2
Rabigh,Jeddah,160.2
Rabigh,Makkah,212.5
Rabigh,Taif,295.6
Rabigh,Al Qunfudhah,516.1
Rabigh,Al-Lith,360.1
Rabigh,Khulais,99.9
Rabigh,Al-Jamoum,179
Rabigh,Al-Khurma,513.5
Rabigh,Ranyah,644.7
Rabigh,Turabah,441.7
Rabigh,Madinah,301.6
Rabigh,Yanbu,185.6
Rabigh,Al-Ula,531.5
Rabigh,Al-Mahd,326.2
Rabigh,Khaybar,457.1
Rabigh,Badr,124.3
Rabigh,Al-Hinakiyah,416
Rabigh,Buridah,792.9
Rabigh,Onizah,791.5
Rabigh,Al-Rass,740.7
Rabigh,Al-Mithnab,816.8
Rabigh,Al-Bukayriyah,750.9
Rabigh,Al-Asyah,829
Rabigh,Riyadh Al-Khabra,832.2
Rabigh,Dammam,1511.6
Rabigh,Khobar,1530.3
Rabigh,Al-Ahsa,1432.7
Rabigh,Hafar Al-Batin,1169.8
Rabigh,Khafji,1471.1
Rabigh,Al-Jubail,1564.1
Rabigh,Qatif,1533.5
Rabigh,Al-Mubarraz,1436.3
Rabigh,Abqaiq,1475.3
Rabigh,Al-Nairyah,1428.5
Rabigh,Qaisumah,1176.5
Rabigh,Ras Tanura,1566.9
